setting,Accuracy,Precision,Recall,F-score,adjAccuracy,adjPrecision,adjRecall,adjF-score
25-03-25_19-36-36anomaly_detection_UCRA_049_UCR_Anomaly_DISTORTEDTkeepFirstMARS_3500_5365_5380.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9947969543147208,0.0,0.0,0.0,0.9947969543147208,0.0,0.0,0.0
25-03-25_19-36-31anomaly_detection_UCRA_046_UCR_Anomaly_DISTORTEDPowerDemand3_16000_23405_23477.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9876436781609196,0.0,0.0,0.0,0.9876436781609196,0.0,0.0,0.0
25-03-25_19-36-34anomaly_detection_UCRA_047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9866610738255034,0.0,0.0,0.0,0.9866610738255034,0.0,0.0,0.0
25-03-25_19-36-46anomaly_detection_UCRA_050_UCR_Anomaly_DISTORTEDTkeepForthMARS_3500_5988_6085.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9835897435897436,0.030303030303030304,0.010309278350515464,0.015384615384615385,0.9958974358974358,0.751937984496124,1.0,0.8584070796460177
25-03-25_19-36-47anomaly_detection_UCRA_051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9944162436548223,0.0,0.0,0.0,0.9944162436548223,0.0,0.0,0.0
25-03-25_19-36-47anomaly_detection_UCRA_052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9834615384615385,0.0,0.0,0.0,0.9834615384615385,0.0,0.0,0.0
25-03-25_19-37-01anomaly_detection_UCRA_053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9401162790697675,0.0,0.0,0.0,0.9401162790697675,0.0,0.0,0.0
25-03-25_19-37-02anomaly_detection_UCRA_054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9593434343434344,0.009615384615384616,0.01694915254237288,0.012269938650306749,0.973989898989899,0.36419753086419754,1.0,0.5339366515837104
25-03-25_19-37-03anomaly_detection_UCRA_055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9851825842696629,0.014285714285714285,0.02666666666666667,0.018604651162790697,0.9903089887640449,0.352112676056338,1.0,0.5208333333333334
25-03-25_19-37-06anomaly_detection_UCRA_056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9847122302158273,0.0,0.0,0.0,0.9847122302158273,0.0,0.0,0.0
